Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
AKTSIASELTS INFORTAR;EE3100149394;INF1T;Tallinn Stock Exchange;eu_candidate;Estonia
AS Tallink Grupp;EE3100004466;TAL1T;Tallinn Stock Exchange;eu_candidate;Estonia
