Name;ISIN;Symbol;Market
KESKO OYJ;FI0009000202;KESKOB;Nasdaq Helsinki
PUUILO OYJ;FI4000507357;PUUILO;Nasdaq Helsinki
NOKIA OYJ;FI0009000681;NOKIA;Nasdaq Helsinki
KONE OYJ;FI0009003305;KNEBV;Nasdaq Helsinki
FORTUM OYJ;FI0009007132;FORTUM;Nasdaq Helsinki
