Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
ĐURO ĐAKOVIĆ GRUPA d.d.;HRDDJTRA0007;DDJH;Zagreb Stock Exchange;eu_candidate;Croatia
Čakovečki mlinovi d.d.;HRCKMLRA0005;CKML;Zagreb Stock Exchange;eu_candidate;Croatia
VALAMAR RIVIERA d.d.;HRRIVPRA0000;RIVP;Zagreb Stock Exchange;eu_candidate;Croatia
PODRAVKA d.d.;HRPODRRA0004;PODR;Zagreb Stock Exchange;eu_candidate;Croatia
ERICSSON NIKOLA TESLA d.d.;HRERNTRA0000;ERNT;Zagreb Stock Exchange;eu_candidate;Croatia
