Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
Ignitis grupė;LT0000128573;INR1L;Vilnius Stock Exchange;eu_candidate;Lithuania
Apranga;LT0000128089;APG1L;Vilnius Stock Exchange;eu_candidate;Lithuania
Telia Lietuva;LT0000127456;TEL1L;Vilnius Stock Exchange;eu_candidate;Lithuania
UAB Kvartalas;LT0000411167;KVART;Vilnius Stock Exchange;eu_candidate;Lithuania
