Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
MODIVO Spółka Akcyjna;PLCCC0000016;MODIVO;Warsaw Stock Exchange;eu_candidate;Poland
SYNEKTIK SPÓŁKA AKCYJNA;PLSNKTK00019;SNT;Warsaw Stock Exchange;eu_candidate;Poland
AB Spółka Akcyjna;PLAB00000019;ABE;Warsaw Stock Exchange;eu_candidate;Poland
APATOR SA;PLAPATR00018;APT;Warsaw Stock Exchange;eu_candidate;Poland
GIEŁDA PAPIERÓW WARTOŚCIOWYCH W WARSZAWIE S.A.;PLGPW0000017;GPW;Warsaw Stock Exchange;eu_candidate;Poland
