Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
Latvenergo, AS;LV0000870129;ELEK024227A;Riga Stock Exchange;eu_candidate;Latvia
AS DelfinGroup;LV0000101806;DGR1R;Riga Stock Exchange;eu_candidate;Latvia
AS Latvijas Gaze;LV0000100899;GZE1R;Riga Stock Exchange;eu_candidate;Latvia
SAF Tehnika A/S;LV0000101129;SAF1R;Riga Stock Exchange;eu_candidate;Latvia
