Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
TELEKOM SLOVENIJE, d.d., Ljubljana;SI0031104290;TLSG;Ljubljana Stock Exchange;eu_candidate;Slovenia
KRKA, d. d., Novo mesto;SI0031102120;KRKG;Ljubljana Stock Exchange;eu_candidate;Slovenia
PETROL d.d., Ljubljana;SI0031102153;PETG;Ljubljana Stock Exchange;eu_candidate;Slovenia
LUKA KOPER, d.d., Koper;SI0031101346;LKPG;Ljubljana Stock Exchange;eu_candidate;Slovenia
NOVA LJUBLJANSKA BANKA d.d., Ljubljana;SI0021117344;NLBR;Ljubljana Stock Exchange;eu_candidate;Slovenia
