Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
Тибиел ЕООД;BG00TBISH001;TIB;Bulgarian Stock Exchange;eu_candidate;Bulgaria
Интерсолар Варна АД;BG11INTV0001;VAR;Bulgarian Stock Exchange;eu_candidate;Bulgaria
ДКЦ-II-Добрич ЕООД;BG11DKJ20001;DKJ;Bulgarian Stock Exchange;eu_candidate;Bulgaria
