Name;ISIN;Symbol;Market;pea_geography_status;issuer_country
Tatry mountain resorts, a.s.;SK1120010287;TMR;Bratislava Stock Exchange;eu_candidate;Slovakia
eustream, a.s.;SK1000016068;EUST;Bratislava Stock Exchange;eu_candidate;Slovakia
OTP Banka Slovensko, a.s.;SK1120009230;1BSS;Bratislava Stock Exchange;eu_candidate;Slovakia
Tatra banka, a.s.;SK1110007840;TATRA;Bratislava Stock Exchange;eu_candidate;Slovakia
