Name;ISIN;Symbol;Market;Source;Notes
NEXTENSA;BE0003770840;NEXTA;Euronext Brussels;euronext_regulated_list;
NYRSTAR;BE0974294267;NYR;Euronext Brussels;euronext_regulated_list;
NYXOAH;BE0974358906;NYXH;Euronext Brussels;euronext_regulated_list;
ONTEX GROUP;BE0974276082;ONTEX;Euronext Brussels;euronext_regulated_list;
ONWARD MEDICAL;NL0015000HT4;ONWD;Euronext Brussels;euronext_regulated_list;
OPTION;BE0974496284;OPTI;Euronext Brussels;euronext_regulated_list;
ORANGE BELGIUM;BE0003735496;OBEL;Euronext Brussels;euronext_regulated_list;
OXURION;BE0974487192;OXUR;Euronext Brussels;euronext_regulated_list;
PAYTON PLANAR;IL0010830391;PAY;Euronext Brussels;euronext_regulated_list;
PROXIMUS;BE0003810273;PROX;Euronext Brussels;euronext_regulated_list;
QRF;BE0974272040;QRF;Euronext Brussels;euronext_regulated_list;
QUESTFOR GR-PRICAF;BE0003730448;QFG;Euronext Brussels;euronext_regulated_list;
RECTICEL;BE0003656676;RECT;Euronext Brussels;euronext_regulated_list;
RETAIL ESTATES;BE0003720340;RET;Euronext Brussels;euronext_regulated_list;
ROULARTA;BE0003741551;ROU;Euronext Brussels;euronext_regulated_list;
SAINT GOBAIN;FR0000125007;SGO;Euronext Brussels;euronext_regulated_list;
SEQUANA MEDICAL;BE0974340722;SEQUA;Euronext Brussels;euronext_regulated_list;
SHURGARD;GG00BQZCBZ44;SHUR;Euronext Brussels;euronext_regulated_list;
SIPEF;BE0003898187;SIP;Euronext Brussels;euronext_regulated_list;
SOFINA;BE0003717312;SOF;Euronext Brussels;euronext_regulated_list;
SOLVAC NOM(RETAIL);BE0003545531;SOLV;Euronext Brussels;euronext_regulated_list;
SOLVAY;BE0003470755;SOLB;Euronext Brussels;euronext_regulated_list;
SPADEL;BE0003798155;SPA;Euronext Brussels;euronext_regulated_list;
SYENSQO;BE0974464977;SYENS;Euronext Brussels;euronext_regulated_list;
TESSENDERLO;BE0003555639;TESB;Euronext Brussels;euronext_regulated_list;
TEXAF;BE0974263924;TEXF;Euronext Brussels;euronext_regulated_list;
TINC;BE0974282148;TINC;Euronext Brussels;euronext_regulated_list;
TITAN S.A.;BE0974338700;TITC;Euronext Brussels;euronext_regulated_list;
TOTALENERGIES;FR0000120271;TTE;Euronext Brussels;euronext_regulated_list;
TUBIZE-FIN;BE0003823409;TUB;Euronext Brussels;euronext_regulated_list;
UCB;BE0003739530;UCB;Euronext Brussels;euronext_regulated_list;
UMICORE;BE0974320526;UMI;Euronext Brussels;euronext_regulated_list;
VAN DE VELDE;BE0003839561;VAN;Euronext Brussels;euronext_regulated_list;
VASTNED;BE0003754687;VASTB;Euronext Brussels;euronext_regulated_list;
VGP;BE0003878957;VGP;Euronext Brussels;euronext_regulated_list;
VIOHALCO;BE0974271034;VIO;Euronext Brussels;euronext_regulated_list;
WAREHOUSES ESTATES;BE0003734481;WEB;Euronext Brussels;euronext_regulated_list;
WDP;BE0974349814;WDP;Euronext Brussels;euronext_regulated_list;
WERELDHAVE BELGIUM;BE0003724383;WEHB;Euronext Brussels;euronext_regulated_list;
WHAT'S COOKING GP;BE0003573814;WHATS;Euronext Brussels;euronext_regulated_list;
XIOR;BE0974288202;XIOR;Euronext Brussels;euronext_regulated_list;
ZENOBE GRAMME CERT;BE0003809267;ZEN;Euronext Brussels;euronext_regulated_list;
