Name;ISIN;Symbol;Market;Source;Notes
INPOST;LU2290522684;INPST;Euronext Amsterdam;euronext_regulated_list;
KENDRION;NL0000852531;KENDR;Euronext Amsterdam;euronext_regulated_list;
KPN KON;NL0000009082;KPN;Euronext Amsterdam;euronext_regulated_list;
LAKEFRONT BIOTHER.;BE0003818359;LKFT;Euronext Amsterdam;euronext_regulated_list;
LAVIDE HOLDING;NL0010545679;LVIDE;Euronext Amsterdam;euronext_regulated_list;
MAGNUM;NL0015002MS2;MICC;Euronext Amsterdam;euronext_regulated_list;
MKB Nedsense;NL0009312842;NEDSE;Euronext Amsterdam;euronext_regulated_list;
MOREFIELD GROUP;CWN814651014;MORE;Euronext Amsterdam;euronext_regulated_list;
MOTORK;GB00BMXH3352;MTRK;Euronext Amsterdam;euronext_regulated_list;
NAI ORD SHARES;NL0015000CG2;NAI;Euronext Amsterdam;euronext_regulated_list;
NAI TREAS SHARES;NL0015000CF4;NAITR;Euronext Amsterdam;euronext_regulated_list;
NAI WARRANTS;NL0015000CH0;NAIW;Euronext Amsterdam;euronext_regulated_list;
NEDAP;NL0000371243;NEDAP;Euronext Amsterdam;euronext_regulated_list;
NEPI ROCKCASTLE;NL0015000RT3;NRP;Euronext Amsterdam;euronext_regulated_list;
NEW SOURCES ENERGY;NL0009822014;NSE;Euronext Amsterdam;euronext_regulated_list;
NN GROUP;NL0010773842;NN;Euronext Amsterdam;euronext_regulated_list;
NSI N.V.;NL0012365084;NSI;Euronext Amsterdam;euronext_regulated_list;
NX FILTRATION;NL0015000D50;NXFIL;Euronext Amsterdam;euronext_regulated_list;
OCI;NL0010558797;OCI;Euronext Amsterdam;euronext_regulated_list;
ONWARD MEDICAL;NL0015000HT4;ONWD;Euronext Amsterdam;euronext_regulated_list;
PB HOLDING;NL0000336303;PBH;Euronext Amsterdam;euronext_regulated_list;
PHARMING GROUP;NL0010391025;PHARM;Euronext Amsterdam;euronext_regulated_list;
PHILIPS BUY BACK;NL0000009322;INPHI;Euronext Amsterdam;euronext_regulated_list;
PHILIPS KON;NL0000009538;PHIA;Euronext Amsterdam;euronext_regulated_list;
PORCELEYNE FLES;NL0000378669;PORF;Euronext Amsterdam;euronext_regulated_list;
POSTNL;NL0009739416;PNL;Euronext Amsterdam;euronext_regulated_list;
PPLA CLASS A;BMG7209L1000;PPLAA;Euronext Amsterdam;euronext_regulated_list;
PPLA CLASS B;BMG7209L1182;PPLAB;Euronext Amsterdam;euronext_regulated_list;
PPLA European Unit;US69355L1098;PPLA;Euronext Amsterdam;euronext_regulated_list;
PROSUS;NL0013654783;PRX;Euronext Amsterdam;euronext_regulated_list;
QEV;NL0015000NM7;QEV;Euronext Amsterdam;euronext_regulated_list;
QEV TREAS SHARES;NL0015000NL9;QEVT;Euronext Amsterdam;euronext_regulated_list;
QEV WARRANTS;NL0015000NK1;QEVW;Euronext Amsterdam;euronext_regulated_list;
RANDSTAD NV;NL0000379121;RAND;Euronext Amsterdam;euronext_regulated_list;
REINET INVESTMENTS;LU0383812293;REINA;Euronext Amsterdam;euronext_regulated_list;
RELX;GB00B2B0DG97;REN;Euronext Amsterdam;euronext_regulated_list;
RETAIL ESTATES;BE0003720340;RET;Euronext Amsterdam;euronext_regulated_list;
SAINT GOBAIN;FR0000125007;SGO;Euronext Amsterdam;euronext_regulated_list;
SBM OFFSHORE;NL0000360618;SBMO;Euronext Amsterdam;euronext_regulated_list;
SHELL PLC;GB00BP6MXD84;SHELL;Euronext Amsterdam;euronext_regulated_list;
SIF HOLDING;NL0011660485;SIFG;Euronext Amsterdam;euronext_regulated_list;
SIGNIFY NV;NL0011821392;LIGHT;Euronext Amsterdam;euronext_regulated_list;
SLIGRO FOOD GROUP;NL0000817179;SLIGR;Euronext Amsterdam;euronext_regulated_list;
SWI CAPITAL;SGXPZ11CH7U7;SWICH;Euronext Amsterdam;euronext_regulated_list;
TETRAGON FIN GRP;GG00B1RMC548;TFG;Euronext Amsterdam;euronext_regulated_list;
THEON INTERNAT;CY0200751713;THEON;Euronext Amsterdam;euronext_regulated_list;
TKH GROUP;NL0000852523;TWEKA;Euronext Amsterdam;euronext_regulated_list;
TOMTOM;NL0013332471;TOM2;Euronext Amsterdam;euronext_regulated_list;
TRIODOS BANK;NL0010407946;TRIO;Euronext Amsterdam;euronext_regulated_list;
UMG;NL0015000IY2;UMG;Euronext Amsterdam;euronext_regulated_list;
UNILEVER;GB00BVZK7T90;UNA;Euronext Amsterdam;euronext_regulated_list;
V LANSCHOT KEMPEN;NL0000302636;VLK;Euronext Amsterdam;euronext_regulated_list;
VALUE8;NL0010661864;VALUE;Euronext Amsterdam;euronext_regulated_list;
VALUE8 CUM PREF;NL0015118803;PREVA;Euronext Amsterdam;euronext_regulated_list;
VASTNED;BE0003754687;VASTB;Euronext Amsterdam;euronext_regulated_list;
VIVORYON;NL00150002Q7;VVY;Euronext Amsterdam;euronext_regulated_list;
VOLTA FINANCE;GG00B1GHHH78;VTA;Euronext Amsterdam;euronext_regulated_list;
VOPAK;NL0009432491;VPK;Euronext Amsterdam;euronext_regulated_list;
WDP;BE0974349814;WDP;Euronext Amsterdam;euronext_regulated_list;
WERELDHAVE;NL0000289213;WHA;Euronext Amsterdam;euronext_regulated_list;
WOLTERS KLUWER;NL0000395903;WKL;Euronext Amsterdam;euronext_regulated_list;
