Name;ISIN;Symbol;Market;Source;Notes
FIDIA;IT0005654683;FDA;Euronext Milan;euronext_regulated_list;
FIERA MILANO;IT0003365613;FM;Euronext Milan;euronext_regulated_list;
FILA;IT0004967292;FILA;Euronext Milan;euronext_regulated_list;
FINCANTIERI;IT0005599938;FCT;Euronext Milan;euronext_regulated_list;
FINE FOODS & PHARM;IT0005215329;FF;Euronext Milan;euronext_regulated_list;
FINECOBANK;IT0000072170;FBK;Euronext Milan;euronext_regulated_list;
FNM;IT0000060886;FNM;Euronext Milan;euronext_regulated_list;
GABETTI;IT0005023038;GAB;Euronext Milan;euronext_regulated_list;
GAROF HEALTH CARE;IT0005345233;GHC;Euronext Milan;euronext_regulated_list;
GAS PLUS;IT0004098510;GSP;Euronext Milan;euronext_regulated_list;
GEFRAN;IT0003203947;GE;Euronext Milan;euronext_regulated_list;
GENERALFINANCE;IT0005144784;GF;Euronext Milan;euronext_regulated_list;
GENERALI;IT0000062072;G;Euronext Milan;euronext_regulated_list;
GEOX;IT0003697080;GEO;Euronext Milan;euronext_regulated_list;
GPI;IT0005221517;GPI;Euronext Milan;euronext_regulated_list;
GVS;IT0005411209;GVS;Euronext Milan;euronext_regulated_list;
HERA;IT0001250932;HER;Euronext Milan;euronext_regulated_list;
I GRANDI VIAGGI;IT0005108219;IGV;Euronext Milan;euronext_regulated_list;
IGD;IT0005322612;IGD;Euronext Milan;euronext_regulated_list;
IMMSI;IT0001413837;IMS;Euronext Milan;euronext_regulated_list;
INDEL B;IT0005245508;INDB;Euronext Milan;euronext_regulated_list;
INDUSTRIE DE NORA;IT0005186371;DNR;Euronext Milan;euronext_regulated_list;
INTERCOS;IT0005455875;ICOS;Euronext Milan;euronext_regulated_list;
INTERPUMP GROUP;IT0001078911;IP;Euronext Milan;euronext_regulated_list;
INTESA SANPAOLO;IT0000072618;ISP;Euronext Milan;euronext_regulated_list;
INWIT;IT0005090300;INW;Euronext Milan;euronext_regulated_list;
IRCE;IT0001077780;IRC;Euronext Milan;euronext_regulated_list;
IREN;IT0003027817;IRE;Euronext Milan;euronext_regulated_list;
IT WAY;IT0003057624;ITW;Euronext Milan;euronext_regulated_list;
ITALGAS;IT0005211237;IG;Euronext Milan;euronext_regulated_list;
ITALIAN EXHIBITION;IT0003411417;IEG;Euronext Milan;euronext_regulated_list;
ITALMOBILIARE;IT0005253205;ITM;Euronext Milan;euronext_regulated_list;
IVECO GROUP;NL0015000LU4;IVG;Euronext Milan;euronext_regulated_list;
JUVENTUS FC;IT0005572778;JUVE;Euronext Milan;euronext_regulated_list;
KME GROUP;IT0004552359;KME;Euronext Milan;euronext_regulated_list;
KME GROUP RSP;IT0004552367;KMER;Euronext Milan;euronext_regulated_list;
LANDI RENZO;IT0005619843;LNDR;Euronext Milan;euronext_regulated_list;
LEONARDO;IT0003856405;LDO;Euronext Milan;euronext_regulated_list;
LOTTOMATICA GROUP;IT0005541336;LTMC;Euronext Milan;euronext_regulated_list;
LUVE;IT0005107492;LUVE;Euronext Milan;euronext_regulated_list;
MAIRE;IT0004931058;MAIRE;Euronext Milan;euronext_regulated_list;
MARR;IT0003428445;MARR;Euronext Milan;euronext_regulated_list;
MEDIOBANCA;IT0000062957;MB;Euronext Milan;euronext_regulated_list;
MET.EXTRA GROUP;IT0005481855;MET;Euronext Milan;euronext_regulated_list;
MFE A;NL0015001OI1;MFEA;Euronext Milan;euronext_regulated_list;
MFE B;NL0015001OJ9;MFEB;Euronext Milan;euronext_regulated_list;
MOLTIPLY GROUP;IT0004195308;MOL;Euronext Milan;euronext_regulated_list;
MONCLER;IT0004965148;MONC;Euronext Milan;euronext_regulated_list;
MONDADORI EDIT;IT0001469383;MN;Euronext Milan;euronext_regulated_list;
MONDO TV;IT0001447785;MTV;Euronext Milan;euronext_regulated_list;
NEODECORTECH;IT0005275778;NDT;Euronext Milan;euronext_regulated_list;
NEWPRINCES;IT0005385213;NWL;Euronext Milan;euronext_regulated_list;
NEXI;IT0005366767;NEXI;Euronext Milan;euronext_regulated_list;
OLIDATA;IT0005634610;OLI;Euronext Milan;euronext_regulated_list;
OPS ECOM;IT0005122400;OEC;Euronext Milan;euronext_regulated_list;
OPS ITALIA;IT0005577868;OPS;Euronext Milan;euronext_regulated_list;
OPS RETAIL;IT0005545675;OPR;Euronext Milan;euronext_regulated_list;
ORSERO;IT0005138703;ORS;Euronext Milan;euronext_regulated_list;
OVS;IT0005043507;OVS;Euronext Milan;euronext_regulated_list;
PHARMANUTRA;IT0005274094;PHN;Euronext Milan;euronext_regulated_list;
PHILOGEN;IT0005373789;PHIL;Euronext Milan;euronext_regulated_list;
PIAGGIO;IT0003073266;PIA;Euronext Milan;euronext_regulated_list;
PININFARINA SPA;IT0003056386;PINF;Euronext Milan;euronext_regulated_list;
PIQUADRO;IT0004240443;PQ;Euronext Milan;euronext_regulated_list;
PIRELLI & C;IT0005278236;PIRC;Euronext Milan;euronext_regulated_list;
PLC;IT0005339160;PLC;Euronext Milan;euronext_regulated_list;
POSTE ITALIANE;IT0003796171;PST;Euronext Milan;euronext_regulated_list;
PRYSMIAN;IT0004176001;PRY;Euronext Milan;euronext_regulated_list;
RAI WAY;IT0005054967;RWAY;Euronext Milan;euronext_regulated_list;
RATTI;IT0004724107;RAT;Euronext Milan;euronext_regulated_list;
RCS MEDIAGROUP;IT0004931496;RCS;Euronext Milan;euronext_regulated_list;
RECORDATI ORD;IT0003828271;REC;Euronext Milan;euronext_regulated_list;
REPLY;IT0005282865;REY;Euronext Milan;euronext_regulated_list;
REVO INSURANCE;IT0005513202;REVO;Euronext Milan;euronext_regulated_list;
RISANAMENTO;IT0001402269;RN;Euronext Milan;euronext_regulated_list;
S.S. LAZIO;IT0003621783;SSL;Euronext Milan;euronext_regulated_list;
SABAF;IT0001042610;SAB;Euronext Milan;euronext_regulated_list;
SAFILO GROUP;IT0004604762;SFL;Euronext Milan;euronext_regulated_list;
SAIPEM;IT0005495657;SPM;Euronext Milan;euronext_regulated_list;
SALV FERRAGAMO;IT0004712375;SFER;Euronext Milan;euronext_regulated_list;
SANLORENZO;IT0003549422;SL;Euronext Milan;euronext_regulated_list;
SECO;IT0005438046;IOT;Euronext Milan;euronext_regulated_list;
SERI INDUSTRIAL;IT0005283640;SERI;Euronext Milan;euronext_regulated_list;
SESA;IT0004729759;SES;Euronext Milan;euronext_regulated_list;
SIT;IT0005262149;SIT;Euronext Milan;euronext_regulated_list;
SNAM;IT0003153415;SRG;Euronext Milan;euronext_regulated_list;
SOFTLAB;IT0001469953;SFT;Euronext Milan;euronext_regulated_list;
SOGEFI;IT0000076536;SGF;Euronext Milan;euronext_regulated_list;
SOL;IT0001206769;SOL;Euronext Milan;euronext_regulated_list;
SOMEC;IT0005329815;SOM;Euronext Milan;euronext_regulated_list;
SYS-DAT;IT0005595423;SYS;Euronext Milan;euronext_regulated_list;
TAMBURI;IT0003153621;TIP;Euronext Milan;euronext_regulated_list;
TECHNOGYM;IT0005162406;TGYM;Euronext Milan;euronext_regulated_list;
TECHNOPROBE;IT0005482333;TPRO;Euronext Milan;euronext_regulated_list;
TELECOM ITALIA;IT0005712671;TIT;Euronext Milan;euronext_regulated_list;
TENARIS;LU2598331598;TEN;Euronext Milan;euronext_regulated_list;
TERNA;IT0003242622;TRN;Euronext Milan;euronext_regulated_list;
TESMEC;IT0004585243;TES;Euronext Milan;euronext_regulated_list;
TESSELLIS;IT0005496473;TSL;Euronext Milan;euronext_regulated_list;
THE ITALIAN SEA G;IT0005439085;TISG;Euronext Milan;euronext_regulated_list;
TINEXTA;IT0005037210;TNXT;Euronext Milan;euronext_regulated_list;
TOSCANA AEROPORTI;IT0000214293;TYA;Euronext Milan;euronext_regulated_list;
TREVI AA;IT0005712580;TFINAA;Euronext Milan;euronext_regulated_list;
TREVI FIN IND;IT0005709909;TFIN;Euronext Milan;euronext_regulated_list;
TRIBOO;IT0005001554;TB;Euronext Milan;euronext_regulated_list;
TXT E-SOLUTIONS;IT0001454435;TXT;Euronext Milan;euronext_regulated_list;
UNICREDIT;IT0005239360;UCG;Euronext Milan;euronext_regulated_list;
UNIDATA;IT0005573065;UD;Euronext Milan;euronext_regulated_list;
UNIPOL;IT0004810054;UNI;Euronext Milan;euronext_regulated_list;
VALSOIA;IT0001018362;VLS;Euronext Milan;euronext_regulated_list;
W DEXELANCE 26-29;IT0005703761;DEX29;Euronext Milan;euronext_regulated_list;
WARR GEOX 25-26;IT0005644809;WGEO26;Euronext Milan;euronext_regulated_list;
WEBUILD;IT0003865570;WBD;Euronext Milan;euronext_regulated_list;
WEBUILD RSP;IT0003865588;WBDR;Euronext Milan;euronext_regulated_list;
WFINCANTIERI 24-26;IT0005599862;WFCT26;Euronext Milan;euronext_regulated_list;
WIIT;IT0005440893;WIIT;Euronext Milan;euronext_regulated_list;
ZEST;IT0005013013;ZEST;Euronext Milan;euronext_regulated_list;
ZIGNAGO VETRO;IT0004171440;ZV;Euronext Milan;euronext_regulated_list;
ZUCCHI;IT0005395071;ZUC;Euronext Milan;euronext_regulated_list;
